codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2604155,2023,70.48,,
2604205,2015,14.909999999999997,,
2604205,2016,14.959999999999994,,
2604205,2017,15.450000000000005,,
2604205,2018,15.400000000000006,,
2604205,2019,16.069999999999993,,
2604205,2020,14.629999999999995,,
2604205,2021,13.200000000000005,,
2604205,2022,0.5600000000000023,,
2604205,2023,20.370000000000005,,
2604304,2015,25.97,0.0,
2604304,2016,24.239999999999995,0.0,
2604304,2017,22.8,0.0,
2604304,2018,21.760000000000005,0.0,
2604304,2019,19.8,0.0,
2604304,2020,19.94,0.0,
2604304,2021,18.0,0.0,
2604304,2022,5.480000000000004,0.0,
2604304,2023,34.900000000000006,,
2604403,2015,32.55,,
2604403,2016,31.450000000000003,,
2604403,2017,31.25,,
2604403,2018,29.870000000000005,,
2604403,2019,30.200000000000003,,
2604403,2020,30.090000000000003,,
2604403,2021,29.930000000000007,,
2604403,2022,26.06,,
2604403,2023,39.59,,
2604502,2015,36.08,,
2604502,2016,36.54,,
2604502,2017,35.400000000000006,55.73,
2604502,2018,35.260000000000005,52.67,
2604502,2019,35.040000000000006,54.3,
2604502,2020,33.75,56.89,
2604502,2021,33.400000000000006,46.46,
2604502,2022,28.290000000000006,58.6,
2604502,2023,40.52,,
2604601,2015,51.63,,
2604601,2016,50.25,,
2604601,2017,48.98,,
2604601,2018,48.17,,
2604601,2019,47.73,,
2604601,2020,47.57,,
2604601,2021,47.8,,
2604601,2022,43.23,,
2604601,2023,54.46,,
2604700,2015,32.5,,
2604700,2016,26.17,16.450000000000003,
2604700,2017,21.86,,
2604700,2018,20.680000000000007,,
2604700,2019,20.879999999999995,,
2604700,2020,20.120000000000005,,
2604700,2021,19.599999999999994,,
2604700,2022,13.239999999999997,,
2604700,2023,34.8,,
2604809,2015,32.56999999999999,,
2604809,2016,0.0,,
2604809,2017,0.0,,
2604809,2022,22.510000000000005,,
2604809,2023,3.9200000000000017,,
2604908,2015,46.63,,
2604908,2016,43.78,,
2604908,2017,39.42,,
2604908,2018,39.38,,
2604908,2019,35.099999999999994,,
2604908,2020,29.56,,
2604908,2021,21.5,,
2604908,2022,52.53,,
2604908,2023,58.26,,
2605004,2015,0.0,,
2605004,2016,0.0,22.40000000000001,
2605004,2017,0.0,22.790000000000006,
2605004,2018,0.0,15.72,
2605004,2019,0.0,22.56,
2605004,2020,0.0,21.81,
2605004,2021,0.0,11.299999999999995,
2605004,2022,0.0,32.010000000000005,
2605004,2023,5.340000000000003,,
2605103,2015,40.97,,
2605103,2016,41.18,,
2605103,2017,40.17,,
2605103,2018,40.35,,
2605103,2019,40.69,,
2605103,2020,40.98,,
2605103,2021,40.31,,
2605103,2022,36.16,,
2605103,2023,45.09,,
2605152,2015,57.03,46.5,
2605152,2016,57.36,43.99,
2605152,2017,57.13,38.73,
2605152,2018,57.0,38.09,
2605152,2019,57.66,38.12,
2605152,2020,57.67,38.07,
2605152,2021,57.83,36.69,
2605152,2022,52.39,42.62,
2605152,2023,58.97,,
2605202,2015,26.200000000000003,,
2605202,2016,24.3,,
2605202,2017,24.89,,
2605202,2018,20.069999999999997,,
2605202,2019,20.08,,
2605202,2020,20.28,,
2605202,2021,20.590000000000003,,
2605202,2022,7.269999999999996,,
2605202,2023,25.909999999999997,,
2605301,2015,42.12,,
2605301,2016,41.19,,
2605301,2017,40.22,51.02,
2605301,2018,40.09,44.31,
2605301,2019,39.77,39.06,
2605301,2020,39.34,38.22,
2605301,2021,38.93,21.44,
2605301,2022,38.14,38.4,
2605301,2023,50.73,,
2605400,2015,15.099999999999994,,
2605400,2016,12.430000000000009,,
2605400,2017,9.069999999999991,,
2605400,2018,7.769999999999996,,
2605400,2019,6.650000000000006,,
2605400,2020,6.3700000000000045,,
2605400,2021,6.040000000000006,,
2605400,2022,1.1500000000000057,,
2605400,2023,16.159999999999997,,
2605459,2015,0.0,27.52,
2605459,2016,13.989999999999997,27.879999999999995,
2605459,2017,0.0,27.760000000000005,
2605459,2018,0.0,27.760000000000005,
2605459,2019,0.0,27.760000000000005,
2605459,2020,0.0,27.540000000000006,
2605459,2021,0.0,29.239999999999995,
2605459,2022,0.0,31.590000000000003,
2605459,2023,10.459999999999994,,
2605509,2015,16.909999999999997,,
2605509,2016,17.019999999999996,,
2605509,2017,15.39,,
2605509,2018,27.870000000000005,,
2605509,2019,12.310000000000002,,
2605509,2020,11.489999999999997,,
2605509,2021,9.599999999999994,,
2605509,2022,25.790000000000006,,
2605509,2023,38.91,,
2605608,2015,42.84,,
2605608,2016,41.43,,
2605608,2017,40.12,,
2605608,2018,39.26,,
2605608,2019,38.56,,
2605608,2020,37.52,,
2605608,2021,35.620000000000005,,
2605608,2022,26.78,,
2605608,2023,53.23,,
2605707,2015,14.579999999999998,,
2605707,2016,11.769999999999996,,
2605707,2017,10.549999999999995,0.0,
2605707,2018,8.64,0.0,
2605707,2019,8.209999999999994,0.0,
2605707,2020,5.549999999999997,0.0,
2605707,2021,4.359999999999999,0.0,
2605707,2022,0.0,0.0,
2605707,2023,26.299999999999997,,
2605806,2015,59.95,,
2605806,2016,57.75,,
2605806,2017,57.74,,
2605806,2018,57.76,,
2605806,2019,57.3,,
2605806,2020,55.85,,
2605806,2021,55.61,,
2605806,2022,48.44,,
2605806,2023,56.84,,
2605905,2015,37.49,,
2605905,2016,30.040000000000006,,
2605905,2017,30.3,,
2605905,2018,30.459999999999997,,
2605905,2019,30.66,,
2605905,2020,28.64,,
2605905,2021,28.16,,
2605905,2022,1.1200000000000043,,
2606002,2015,0.0,92.24,
2606002,2016,0.0,91.91,
2606002,2017,0.0,89.74,
2606002,2018,0.0,89.53999999999999,
2606002,2019,0.0,89.34,
2606002,2020,0.0,89.09,
2606002,2021,0.0,89.51,
2606002,2022,0.0100000000000051,91.49,
2606002,2023,8.0,,
2606101,2015,45.37,,
2606101,2016,44.49,,
2606101,2017,43.72,,
2606101,2018,39.2,,
2606101,2019,38.87,,
2606101,2020,38.5,,
2606101,2021,37.74,,
2606101,2022,26.319999999999997,,
2606101,2023,39.34,,
2606200,2015,42.36,,
2606200,2016,41.21,,
2606200,2017,38.03,,
2606200,2018,34.27,,
2606200,2019,34.040000000000006,,
2606200,2020,32.760000000000005,98.95,
2606200,2021,31.430000000000007,92.5,
2606200,2022,30.75,81.81,
2606200,2023,45.13,,
2606309,2015,48.6,0.0,
2606309,2016,48.15,0.0,
2606309,2017,45.03,0.0,
2606309,2018,43.97,0.0,
2606309,2019,42.41,0.0,
2606309,2020,40.94,0.0,
2606309,2021,40.59,78.23,
2606309,2022,32.18000000000001,83.31,
2606309,2023,45.03,,
2606408,2015,0.0,98.62,
2606408,2016,0.0,98.78,
2606408,2017,0.0,98.06,
2606408,2018,0.0,98.19,
2606408,2019,0.0,97.99,
2606408,2020,0.0,97.85,
2606408,2021,0.0,97.07,
2606408,2022,0.0,87.11,
2606408,2023,11.269999999999996,,
2606606,2015,45.62,,
2606606,2016,44.9,0.0,
2606606,2017,43.77,0.0,
2606606,2018,43.22,0.0,
2606606,2019,40.47,0.0,
2606606,2020,39.63,0.0,
2606606,2021,39.32,0.0,
2606606,2022,34.010000000000005,0.0,
2606606,2023,46.02,,
2606705,2015,47.84,,
2606705,2016,47.45,,
2606705,2017,46.18,,
2606705,2018,36.84,,
2606705,2019,34.040000000000006,,
2606705,2020,32.09,,
2606705,2021,30.03,0.0,
2606705,2022,22.41,0.0,
2606705,2023,40.24,,
2606804,2015,31.230000000000004,97.85,
